Plot,Nymphs
1,0
1,0
1,0
1,0
1,5
1,0
1,4
1,3
1,2
1,7
1,10
1,27
1,37
1,35
1,51
1,84
1,28
1,65
1,23
1,29
1,3
2,0
2,0
2,0
2,0
2,2
2,0
2,9
2,14
2,28
2,3
2,9
2,6
2,7
2,1
2,2
2,6
2,2
2,5
2,2
2,4
2,1
4,1
4,0
4,0
4,3
4,1
4,9
4,2
4,3
4,1
4,0
4,2
4,4
4,1
4,2
4,3
4,5
4,4
4,7
4,14
4,10
4,3
20,0
20,0
20,0
20,1
20,2
20,0
20,0
20,0
20,0
20,0
20,0
20,3
20,2
20,2
20,4
20,0
20,5
20,10
20,2
20,5
20,4
5,0
5,0
5,0
5,0
5,0
5,2
5,3
5,5
5,5
5,12
5,7
5,13
5,0
5,6
5,12
5,5
5,31
5,75
5,51
5,79
5,39
6,1
6,10
6,7
6,6
6,5
6,14
6,8
6,4
6,0
6,0
6,1
6,0
6,0
6,2
6,2
6,0
6,0
6,4
6,3
6,2
6,3
7,3
7,3
7,0
7,0
7,4
7,19
7,10
7,3
7,2
7,1
7,0
7,0
7,1
7,3
7,4
7,1
7,4
7,6
7,2
7,0
10,0
10,0
10,3
10,6
10,8
10,13
10,26
10,3
10,1
10,1
10,0
10,1
10,0
10,4
10,3
10,2
10,6
10,0
10,1
10,1
10,1
11,1
11,0
11,2
11,0
11,1
11,2
11,2
11,1
11,1
11,2
11,0
11,1
11,3
11,8
11,3
11,2
11,4
11,1
11,6
11,12
11,2
12,1
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,3
12,7
12,4
12,2
12,11
12,27
12,102
12,35
12,66
13,1
13,0
13,10
13,0
13,0
13,1
13,0
13,1
13,1
13,1
13,2
13,8
13,1
13,20
13,19
13,16
13,17
13,2
13,8
13,17
13,2
14,1
14,15
14,11
14,0
14,1
14,3
14,5
14,1
14,6
14,3
14,5
14,11
14,9
14,41
14,22
14,13
14,67
14,7
14,36
14,12
14,4
15,0
15,0
15,0
15,0
15,2
15,0
15,0
15,0
15,4
15,1
15,0
15,2
15,1
15,3
15,4
15,2
15,12
15,38
15,4
15,0
15,1
16,0
16,0
16,3
16,3
16,3
16,0
16,0
16,0
16,1
16,5
16,0
16,6
16,11
16,51
16,36
16,14
16,8
16,15
16,17
16,20
16,26
16,0
17,3
17,0
17,4
17,3
17,4
17,1
17,4
17,1
17,1
17,3
17,6
17,5
17,3
17,1
17,3
17,4
17,2
17,9
17,5
17,15
17,11
17,6
19,5
19,1
19,13
19,18
19,12
19,10
19,6
19,6
19,3
19,1
19,0
19,4
19,1
19,0
19,2
19,3
19,4
19,1
19,0
19,0
19,0
21,10
21,21
21,7
21,1
21,2
21,3
21,29
21,93
21,44
21,22
21,70
21,38
21,81
21,199
21,99
21,40
21,58
21,164
21,19
