Code,2022,2023,2024,x,y
1,true,true,true,268397.685892316,5244057.23603169
2,false,false,false,268387.94196996,5244001.97355921
4,false,false,false,241722.155272102,5265663.84080077
5,true,true,true,238616.293948316,5266915.27025129
6,false,false,false,238543.133178682,5266629.05653284
7,false,false,false,238407.165605194,5266456.99446013
10,true,false,false,231370.610707968,5271297.052115
11,false,true,true,231119.388038744,5271408.83795254
12,false,false,false,232465.215424674,5271324.72361084
13,true,true,false,228211.532258526,5277935.54106486
14,false,false,false,228283.841525238,5278032.39135842
15,false,false,false,228290.580419568,5278176.84486897
16,true,true,false,227360.890298893,5271338.20661005
17,false,false,false,228093.600871222,5271526.7447818
19,false,false,false,225603.236998341,5279171.47776867
20,true,true,true,241800.637838439,5264535.88753314
21,,true,true,225444.205175915,5279312.61245755
22,,,true,227616.451537353,5277774.02527196
23,,,true,228337.387302198,5272228.08538051
8,true,,,232875.504945524,5269579.99722645
9,false,,,232634.146825456,5269579.90714925
3,false,,,241597.08870768,5264711.87994716
18,true,,,225593.968621056,5279294.41562058
